update,timesteps,mean_ep_return,mean_ep_len,success_rate,flip_rate,pipe_gap_violation_rate,policy_loss,value_loss,entropy,elapsed_s
96,1572864,887.1742216926511,696.83,0.305,0.0,0.04,-0.006660144776105881,129.17074584960938,2.9361467361450195,45.6183922290802
97,1589248,888.8646321616294,700.685,0.29,0.0,0.04,0.005704405717551708,151.5880126953125,2.941964864730835,46.03234338760376
98,1605632,896.5182559926027,712.0,0.235,0.0,0.045,-0.010868113487958908,125.01753997802734,2.957531452178955,46.47414302825928
99,1622016,920.6636818247271,736.44,0.18,0.0,0.045,-0.009754972532391548,106.16043853759766,2.9734888076782227,46.857441902160645
100,1638400,938.8592416184572,755.425,0.135,0.0,0.045,0.0017039282247424126,143.44192504882812,2.98171067237854,47.32930636405945
101,1654784,917.0567402681543,735.92,0.175,0.0,0.04,-0.035767652094364166,81.91333770751953,2.993865489959717,47.78990173339844
102,1671168,910.9256486252483,730.025,0.185,0.0,0.04,-0.0007423453498631716,108.91389465332031,3.004697561264038,48.2125883102417
103,1687552,908.2888927933259,726.46,0.195,0.0,0.04,-0.002290744334459305,89.14024353027344,3.0230321884155273,48.65830397605896
104,1703936,907.5245836974717,722.87,0.205,0.0,0.03,0.005466357804834843,188.9992218017578,3.032374858856201,49.02468156814575
105,1720320,911.0654706519028,723.745,0.22,0.0,0.02,-0.013088314794003963,82.50115966796875,3.042705535888672,49.39829444885254
106,1736704,908.6143191282531,720.23,0.23,0.0,0.02,-0.0021779118105769157,95.91632080078125,3.0787858963012695,49.74695324897766
107,1753088,918.6454564895886,725.02,0.235,0.0,0.015,0.016856316477060318,179.43212890625,3.1148128509521484,50.13606095314026
108,1769472,919.1023343033207,724.51,0.24,0.0,0.015,-0.028604744002223015,82.05043029785156,3.141357660293579,50.46503663063049
109,1785856,929.8637013107145,730.765,0.245,0.0,0.01,0.007581476587802172,123.95951843261719,3.1563634872436523,50.90924119949341
110,1802240,931.9212772723695,729.06,0.26,0.0,0.005,-0.012517810799181461,90.6405029296875,3.1678483486175537,51.37134671211243
