t_s,x,y,z,roll_deg,pitch_deg,yaw_deg
1.75,0.9575485172956091,0.13565689255634997,-3.7527876581303725,6.842756700661451,0.20508773457343316,-10.718146275753215
1.8,1.005596623975374,0.16142380866298145,-3.760205746943968,7.84584346519774,0.5253809524078377,-9.895814068233802
1.85,1.0538538749622253,0.1885012002821774,-3.7664140649569244,8.834142159160072,0.8717737020023607,-9.253162685223328
1.9000000000000001,1.1023046102780558,0.21666850565915316,-3.771502568041077,9.811811713852416,1.2567918732862304,-8.772169136321505
1.9500000000000002,1.150987409993354,0.2456626894714485,-3.7755712923653117,10.758964145193971,1.6727230755973572,-8.480240535390374
2.0,1.1999612265084916,0.2752183150784823,-3.778737195581986,11.662532181794866,2.117132032693408,-8.393458408026996
2.0500000000000003,1.249297331630901,0.3050769252055553,-3.781131948565232,12.514626739443784,2.590037547836362,-8.51431354872402
2.1,1.2990681923065575,0.33499910151352397,-3.782897590524564,13.311357695546894,3.090350623210978,-8.82687743415941
2.15,1.3493349769508998,0.3647780119790737,-3.784180508303076,14.05185003709398,3.6138339061912403,-9.298608084945199
2.2,1.4001380676980792,0.39424961807198877,-3.785125021674773,14.737379941248822,4.152728098150863,-9.886468752994077
2.25,1.4514922506936203,0.42329825733106485,-3.785867419634396,15.370669575041898,4.696354906413396,-10.543373123621281
2.3000000000000003,1.5033864259156218,0.4518576627408929,-3.7865311593029687,15.955294569767439,5.2322339627469105,-11.223625106639924
2.35,1.5557867181596698,0.4799081264222605,-3.787223621252499,16.49517964151432,5.747316527848076,-11.88674752309306
2.4000000000000004,1.6086415469487858,0.5074708251574932,-3.7880345054650784,16.994181174781293,6.229092242687352,-12.499698170794476
2.45,1.6618873663051918,0.5346003541574817,-3.7890357328723705,17.455768295639707,6.666470576881884,-13.037800513885415
2.5,1.7154541696394148,0.5613763845129797,-3.790282590379661,17.88281701086354,7.050430510079166,-13.484792303351034
2.5500000000000003,1.7692702570082968,0.5878951686176064,-3.791815802804125,18.277526676972297,7.374470186569636,-13.832332060825305
2.6,1.823266087478651,0.614261428407391,-3.793664203982849,18.641457737955093,7.634890616461074,-14.079197430409565
2.6500000000000004,1.8773772470216032,0.6405810046808824,-3.7958476963793166,18.975679104771174,7.8309342554151735,-14.230309840265946
2.7,1.931540990201802,0.6669483653127866,-3.7983839878318206,19.281519556545295,7.9678997456057905,-14.299422574180518
2.75,1.9857197107244808,0.6934380323047671,-3.8012946601307513,19.555208540368824,8.051743486161268,-14.312813875725764
2.8000000000000003,2.0398938955900188,0.7201059813009635,-3.8046027996401057,19.79533711735414,8.090040492763595,-14.293959653464873
2.85,2.094040984569162,0.7469950994226652,-3.808331668167326,20.008244030920203,8.095816275155148,-14.256642131679921
2.9000000000000004,2.148148977768241,0.7741339658196751,-3.812505517968035,20.200418058107243,8.082103257222098,-14.213426585414405
2.95,2.202214958097953,0.8015383024463707,-3.8171489057272123,20.378373513535102,8.061274099492028,-14.17490534365638
3.0,2.256243309570557,0.8292131387987202,-3.822285630101935,20.548435381432284,8.044456001832414,-14.149228886331013
3.0500000000000003,2.310243773069637,0.8571553377935368,-3.8279374793627015,20.716468772799683,8.04107063438462,-14.14196434953771
3.1,2.3642294822398373,0.8853561850490239,-3.83412296382513,20.88761265491988,8.05854672287638,-14.156184779765542
3.1500000000000004,2.418215109306863,0.9138038527875038,-3.840856161898421,21.066072672802147,8.102148497508296,-14.192660772751758
3.2,2.472215218475092,0.9424856148339551,-3.8481457516319226,21.254990824403325,8.174953178502106,-14.250197798435016
3.25,2.52624294648984,0.9713896348715823,-3.8559943236225536,21.456400930430025,8.27800836454484,-14.326129258970026
